"STT","Mã Đơn Vị","Tỉnh / Thành Phố","Quận / Huyện / Khu Vực","Tên Phường / Xã","Phân Loại","Diện Tích (km²)","Dân Số (người)","Mật Độ (người/km²)","Tên Trụ Sở UBND","Địa Chỉ UBND Thực Tế","Vĩ Độ UBND (Lat)","Kinh Độ UBND (Lng)","Google Maps UBND","Tên Trụ Sở Công An","Địa Chỉ Công An Thực Tế","Google Maps Công An","Website / Cổng TTĐT","Nguồn Đối Soát","Trạng Thái Kiểm Tra","Ghi Chú AI Senior"
"691","38010","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Mường Luân","Xã","186.22","16012","86","Ủy Ban Nhân Dân Xã Mường Luân","Bản Xã Mường Luân, Xã Mường Luân, Tỉnh Điện Biên","21.3446","103.0327","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Lu%C3%A2n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Mường Luân","Bản Xã Mường Luân, Xã Mường Luân, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Lu%C3%A2n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"692","38011","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Mường Mùn","Xã","252.84","14374","57","Ủy Ban Nhân Dân Xã Mường Mùn","Bản Xã Mường Mùn, Xã Mường Mùn, Tỉnh Điện Biên","21.4016","102.9776","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20M%C3%B9n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Mường Mùn","Bản Xã Mường Mùn, Xã Mường Mùn, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20M%C3%B9n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"693","38012","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Mường Nhà","Xã","463","9653","21","Ủy Ban Nhân Dân Xã Mường Nhà","Bản Xã Mường Nhà, Xã Mường Nhà, Tỉnh Điện Biên","21.3966","103.0591","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Nh%C3%A0%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Mường Nhà","Bản Xã Mường Nhà, Xã Mường Nhà, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Nh%C3%A0%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"694","38013","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Mường Nhé","Xã","489.47","24294","50","Ủy Ban Nhân Dân Xã Mường Nhé","Bản Xã Mường Nhé, Xã Mường Nhé, Tỉnh Điện Biên","21.3438","102.9938","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Nh%C3%A9%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Mường Nhé","Bản Xã Mường Nhé, Xã Mường Nhé, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Nh%C3%A9%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"695","38014","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Mường Phăng","Xã","166.7","16063","96","Ủy Ban Nhân Dân Xã Mường Phăng","Bản Xã Mường Phăng, Xã Mường Phăng, Tỉnh Điện Biên","21.429","103.0066","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Ph%C4%83ng%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Mường Phăng","Bản Xã Mường Phăng, Xã Mường Phăng, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Ph%C4%83ng%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"696","38015","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Mường Pồn","Xã","258.76","10401","40","Ủy Ban Nhân Dân Xã Mường Pồn","Bản Xã Mường Pồn, Xã Mường Pồn, Tỉnh Điện Biên","21.3557","103.0559","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20P%E1%BB%93n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Mường Pồn","Bản Xã Mường Pồn, Xã Mường Pồn, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20P%E1%BB%93n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"697","38016","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Mường Toong","Xã","230.69","10832","47","Ủy Ban Nhân Dân Xã Mường Toong","Bản Xã Mường Toong, Xã Mường Toong, Tỉnh Điện Biên","21.377","102.9681","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Toong%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Mường Toong","Bản Xã Mường Toong, Xã Mường Toong, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20Toong%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"698","38017","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Mường Tùng","Xã","278.93","9450","34","Ủy Ban Nhân Dân Xã Mường Tùng","Bản Xã Mường Tùng, Xã Mường Tùng, Tỉnh Điện Biên","21.4216","103.0489","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20T%C3%B9ng%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Mường Tùng","Bản Xã Mường Tùng, Xã Mường Tùng, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20M%C6%B0%E1%BB%9Dng%20T%C3%B9ng%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"699","38018","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Nà Bủng","Xã","162.52","10114","62","Ủy Ban Nhân Dân Xã Nà Bủng","Bản Xã Nà Bủng, Xã Nà Bủng, Tỉnh Điện Biên","21.3323","103.0188","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20N%C3%A0%20B%E1%BB%A7ng%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Nà Bủng","Bản Xã Nà Bủng, Xã Nà Bủng, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20N%C3%A0%20B%E1%BB%A7ng%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"700","38019","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Nà Hỳ","Xã","275.64","16710","61","Ủy Ban Nhân Dân Xã Nà Hỳ","Bản Xã Nà Hỳ, Xã Nà Hỳ, Tỉnh Điện Biên","21.4202","102.98","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20N%C3%A0%20H%E1%BB%B3%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Nà Hỳ","Bản Xã Nà Hỳ, Xã Nà Hỳ, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20N%C3%A0%20H%E1%BB%B3%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"701","38020","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Na Sang","Xã","360.15","19598","54","Ủy Ban Nhân Dân Xã Na Sang","Bản Xã Na Sang, Xã Na Sang, Tỉnh Điện Biên","21.3809","103.0697","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Na%20Sang%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Na Sang","Bản Xã Na Sang, Xã Na Sang, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Na%20Sang%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"702","38021","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Na Son","Xã","230.71","15331","66","Ủy Ban Nhân Dân Xã Na Son","Bản Xã Na Son, Xã Na Son, Tỉnh Điện Biên","21.3487","102.9753","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Na%20Son%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Na Son","Bản Xã Na Son, Xã Na Son, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Na%20Son%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"703","38022","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Nà Tấu","Xã","188.55","14939","79","Ủy Ban Nhân Dân Xã Nà Tấu","Bản Xã Nà Tấu, Xã Nà Tấu, Tỉnh Điện Biên","21.4377","103.024","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20N%C3%A0%20T%E1%BA%A5u%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Nà Tấu","Bản Xã Nà Tấu, Xã Nà Tấu, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20N%C3%A0%20T%E1%BA%A5u%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"704","38023","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Nậm Kè","Xã","224.7","8977","40","Ủy Ban Nhân Dân Xã Nậm Kè","Bản Xã Nậm Kè, Xã Nậm Kè, Tỉnh Điện Biên","21.3375","103.0486","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20N%E1%BA%ADm%20K%C3%A8%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Nậm Kè","Bản Xã Nậm Kè, Xã Nậm Kè, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20N%E1%BA%ADm%20K%C3%A8%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"705","38024","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Nậm Nèn","Xã","175","7496","43","Ủy Ban Nhân Dân Xã Nậm Nèn","Bản Xã Nậm Nèn, Xã Nậm Nèn, Tỉnh Điện Biên","21.3957","102.9614","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20N%E1%BA%ADm%20N%C3%A8n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Nậm Nèn","Bản Xã Nậm Nèn, Xã Nậm Nèn, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20N%E1%BA%ADm%20N%C3%A8n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"706","38025","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Núa Ngam","Xã","264.78","11804","45","Ủy Ban Nhân Dân Xã Núa Ngam","Bản Xã Núa Ngam, Xã Núa Ngam, Tỉnh Điện Biên","21.4119","103.0666","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20N%C3%BAa%20Ngam%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Núa Ngam","Bản Xã Núa Ngam, Xã Núa Ngam, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20N%C3%BAa%20Ngam%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"707","38026","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Pa Ham","Xã","135.84","8171","60","Ủy Ban Nhân Dân Xã Pa Ham","Bản Xã Pa Ham, Xã Pa Ham, Tỉnh Điện Biên","21.3277","102.999","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Pa%20Ham%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Pa Ham","Bản Xã Pa Ham, Xã Pa Ham, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Pa%20Ham%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"708","38027","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Phình Giàng","Xã","226.37","10467","46","Ủy Ban Nhân Dân Xã Phình Giàng","Bản Xã Phình Giàng, Xã Phình Giàng, Tỉnh Điện Biên","21.437","102.9919","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Ph%C3%ACnh%20Gi%C3%A0ng%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Phình Giàng","Bản Xã Phình Giàng, Xã Phình Giàng, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Ph%C3%ACnh%20Gi%C3%A0ng%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"709","38028","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Pu Nhi","Xã","181.22","9990","55","Ủy Ban Nhân Dân Xã Pu Nhi","Bản Xã Pu Nhi, Xã Pu Nhi, Tỉnh Điện Biên","21.3602","103.072","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Pu%20Nhi%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Pu Nhi","Bản Xã Pu Nhi, Xã Pu Nhi, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Pu%20Nhi%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"710","38029","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Pú Nhung","Xã","209.93","12547","60","Ủy Ban Nhân Dân Xã Pú Nhung","Bản Xã Pú Nhung, Xã Pú Nhung, Tỉnh Điện Biên","21.3627","102.9595","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20P%C3%BA%20Nhung%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Pú Nhung","Bản Xã Pú Nhung, Xã Pú Nhung, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20P%C3%BA%20Nhung%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"711","38030","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Quài Tở","Xã","182.01","14887","82","Ủy Ban Nhân Dân Xã Quài Tở","Bản Xã Quài Tở, Xã Quài Tở, Tỉnh Điện Biên","21.4378","103.0453","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Qu%C3%A0i%20T%E1%BB%9F%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Quài Tở","Bản Xã Quài Tở, Xã Quài Tở, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Qu%C3%A0i%20T%E1%BB%9F%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"712","38031","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Quảng Lâm","Xã","233.25","10021","43","Ủy Ban Nhân Dân Xã Quảng Lâm","Bản Xã Quảng Lâm, Xã Quảng Lâm, Tỉnh Điện Biên","21.323","103.0326","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Qu%E1%BA%A3ng%20L%C3%A2m%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Quảng Lâm","Bản Xã Quảng Lâm, Xã Quảng Lâm, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Qu%E1%BA%A3ng%20L%C3%A2m%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"713","38032","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Sam Mứn","Xã","156.12","8183","52","Ủy Ban Nhân Dân Xã Sam Mứn","Bản Xã Sam Mứn, Xã Sam Mứn, Tỉnh Điện Biên","21.4174","102.9636","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Sam%20M%E1%BB%A9n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Sam Mứn","Bản Xã Sam Mứn, Xã Sam Mứn, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Sam%20M%E1%BB%A9n%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"714","38033","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Sáng Nhè","Xã","186.87","19208","103","Ủy Ban Nhân Dân Xã Sáng Nhè","Bản Xã Sáng Nhè, Xã Sáng Nhè, Tỉnh Điện Biên","21.3941","103.0796","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20S%C3%A1ng%20Nh%C3%A8%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Sáng Nhè","Bản Xã Sáng Nhè, Xã Sáng Nhè, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20S%C3%A1ng%20Nh%C3%A8%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"715","38034","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Si Pa Phìn","Xã","241.65","10772","45","Ủy Ban Nhân Dân Xã Si Pa Phìn","Bản Xã Si Pa Phìn, Xã Si Pa Phìn, Tỉnh Điện Biên","21.3322","102.9772","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20Si%20Pa%20Ph%C3%ACn%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Si Pa Phìn","Bản Xã Si Pa Phìn, Xã Si Pa Phìn, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20Si%20Pa%20Ph%C3%ACn%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
"716","38035","Tỉnh Điện Biên","Khu vực Tỉnh Điện Biên","Xã Sín Chải","Xã","189.13","12915","68","Ủy Ban Nhân Dân Xã Sín Chải","Bản Xã Sín Chải, Xã Sín Chải, Tỉnh Điện Biên","21.4484","103.0113","https://www.google.com/maps/search/?api=1&query=UBND%20X%C3%A3%20S%C3%ADn%20Ch%E1%BA%A3i%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","Công An Xã Sín Chải","Bản Xã Sín Chải, Xã Sín Chải, Tỉnh Điện Biên","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20X%C3%A3%20S%C3%ADn%20Ch%E1%BA%A3i%2C%20T%E1%BB%89nh%20%C4%90i%E1%BB%87n%20Bi%C3%AAn","https://dien-bien.gov.vn","Cổng TTĐT Tỉnh Điện Biên & Dữ liệu hành chính sau 07/2025","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & thôn bản văn hóa"
